root	status	buckets	gloss
tyh	kept	-	get lost, wander about, 1ose one‘s way, go astray; to stray, wander (thoughts); to escape, slip
tyn	kept	-	fig
vEb	not_in_hanswehr	-	
vbT	no_gloss	-	
vbr	kept	-	destroy, ruin; to perish
vbt	kept	-	stand firm, be fixed, stationary, immovable, unshakable, firm, strong, stable
vby	not_in_hanswehr	-	
vjj	kept	-	flow coplously
vll	kept	-	tear down, destroy, overthrow, subvert
vlv	kept	-	one third; tulut a sprawling, decorative calligraphic style
vmn	kept	-	price, cost; value
vmr	kept	-	fruits, fruit (coll.); result, effect, fruit, fruitage; yield, profit, benefit, gain
vny	kept	-	bonding; folding; turning away, dissuasion, keeping, prevention
vqb	kept	-	piercing, boring, puncture, perforation; hole, puncture, borehole, drill hole
vqf	kept	-	find, meet
vql	kept	-	be heavy
vrb	no_gloss	-	
vry	kept	-	moist earth; ground, soil
vwb	kept	-	garment, dress; cloth, material; (fig.) garb, outward appearance, guise, cloak, mask
vwr	kept	-	stir, be stirred up, be aroused, be excited; to swirl up, rise (dust); to arise
vwy	kept	-	guestroom
vxn	kept	-	be or become thick, thicken; to be firm, solid, compact
vyb	no_gloss	-	
w$y	kept	-	many-colored ornamentation, embroidery; embroidered or painted fabrics
w*r	kept	-	let, leave; to let alone, leave alone; to let be, stop, cease
wAd	kept	-	valley; river valley, river bed, ravine, gorge, wadi; river
wAl	kept	-	leading, managing, executive, administrative; ruler; governor, vali
wDE	kept	-	lay, lay off, lay on, lay down, put down; to set down; to place
wDn	not_in_hanswehr	-	
wEZ	kept	-	preach, appeal to s.o.’s conscience; to admonish, exhort; to warn, caution
wEd	kept	-	make a promise; to give one’s word; to promise
wEy	kept	-	hold; to comprise; to contain
wH$	kept	-	deserted, lonely, dreary, desolate, wild, untamed (animal)
wHd	kept	-	be alone, unique, singular, unmatched, without equal, incomparable
wHy	kept	-	inspire; to reveal
wSb	kept	-	illness; discomfort, hardship, suffering
wSd	kept	-	be firm, stand firmly
wSf	kept	-	describe, depict, portray, picture; to characterize; to praise, laud, extol
wSl	kept	-	connect, join, unite, combine, link, interlock, attach; to establish; to bring into relation
wSy	kept	-	plenipotentiary, mandatory, authorized agent, commissioner; executor; legal guardian, curator, tutor
wTA	not_in_hanswehr	-	
wTn	kept	-	homeland, home country, fatherland; home
wTr	kept	-	wish, desire; aim, end, object, purposed
wbl	kept	-	shed heavy rain (sky)
wbq	kept	-	perish, go to ruin, be destroyed
wbr	kept	-	daman (Hyrax syriaca: zool.)
wdE	kept	-	put down, lodge, deposit; (usually only in imperf. and imp.) to let, leave; to leave off, stop, cease
wdd	kept	-	love, like, be fond; to want, wish
wdq	not_in_hanswehr	-	
wdy	kept	-	friendly, amicable
wfD	kept	-	run; to hurry, rush
wfd	kept	-	arrival, coming
wfq	kept	-	be right, proper, suitable, fit, appropriate
wfr	kept	-	abundance, wealth; profusion, superabundance; excess, surplus, overplus
wfy	kept	-	be perfect, integral, complete, unabridged
whb	kept	-	give, donate; to grant, accord; to present
whj	kept	-	blaze, fire; white heat, incandescence; glare of the sun
whn	kept	-	be weak, feeble, lack the strength, be incapable; to grow feeble, languish, flag; to loose vigor or courage
why	kept	-	be weak, feeble, frail, fragile
wjb	kept	-	be necessary, requisite, obligatory, indispensable; to be incumbent, imposed, enjoined, be s.o.’s duty
wjd	kept	-	find; to hit upon s.th., come across s.th., meet with s.th.; to get, obtain
wjf	kept	-	be agitated, excited, troubled, in commotion
wjh	kept	-	face, countenance; front, face, façade; outside
wjl	kept	-	be afraid, be scared; to be a coward, be craven
wjs	kept	-	be apprehensive, be afraid, be worried, be seized with fear
wkA	kept	-	thong or string for tying up a waterskin or bag
wkd	kept	-	wish, desire, intention, aim, goal, end, purpose, object, aspiration, endeavor, effort, attempt
wkl	kept	-	entrust, assign, commission, charge, put s.o. in charge
wkz	kept	-	strike with the fist; to thrust, push, hit; to spur
wld	kept	-	descendant, offspring, scion; child; son
wlj	kept	-	enter, penetrate
wly	kept	-	be near s.o. or s.th., be close, lie next; to adjoin, be adjacent; to follow
wny	kept	-	be or become faint, weak, tired, dispirited, despondent, sapless, effete, lose vigor, flag, languish
wq*	kept	-	hit fatally, hit hard, throw down, fell
wqE	kept	-	fall; to fall down, drop; to tumble
wqb	kept	-	he sunken, hollow (eye); to become dark, gloomy
wqd	kept	-	take fire, ignite, burn
wqf	kept	-	come to a standstill, come to a stop; to stand still; to place o.s. post o.s., station o.s., take one’s stand, step, stand
wqr	kept	-	cavity, hollow
wqt	kept	-	time; period of time, time span; moment, instant
wqy	kept	-	guard, preserve, take good care; to safeguard, shield, shelter, preserve, protect, keep, guard; to protect, offer or afford protection
wrd	kept	-	come, arrive; to appear, show up; to be found, be met with, be said, be mentioned
wrq	kept	-	foliage, leafage, leaves; paper; paper money, banknotes
wrv	kept	-	be heir, be s.o.’s heir; to inherit
wry	kept	-	kindle, fire, take fire (lighter)
wsE	kept	-	ability, capability, faculty; capacity; power, strength
wsT	no_gloss	-	
wsl	no_gloss	-	
wsm	kept	-	brand; to stamp, mark, brand
wsn	kept	-	slumber, doze
wsq	kept	-	load, freight
wsws	kept	-	speak under one’s breath, whisper; to inatill evil, prompt or tempt s.o. with wicked suggestion; to awaken doubts, arouse scruples
wtd	kept	-	peg, pin; tent pin, tent peg; stake, pole
wtn	not_in_hanswehr	-	
wtr	kept	-	string, provide with a string; to wrong, harm, cheat, dupe
wvn	kept	-	graven image, idol
wvq	kept	-	place one’s confidence, put faith rely, depend, trust, be confident
wzE	kept	-	curb, restrain
wzn	kept	-	weight; (poetic) measure, meter; noun or verb pattern, form (gram.)
wzr	kept	-	take upon o.s., carry
x$E	kept	-	be submissive, be humble; to humble o.s.; to fade (voice)
x$b	kept	-	wood, lumber, timber
x$y	kept	-	fear, dread, be afraid
x*l	kept	-	leave, abandon, forsake, desert, leave in the lurch; to stay behind; to disappoint
xDE	kept	-	bow, defer, submit, yield, surrender, humble o.s., obey, follow; to be subject, be under s.o.’s control
xDd	kept	-	cut off, break off
xDr	kept	-	green, verdant; verdure, greenery; young green crop (of grain)
xSS	kept	-	distinguish, favor (especially, before others), single out, bestow special honors; to endow, confer, bestow
xSf	kept	-	mend, repair, sew
xSm	kept	-	defeat in argument; to deduct, subtract: to discount
xTA	kept	-	error; mistake, incorrectness; offense, fault
xTT	kept	-	draw or trace a line; to draw, trace, sketch, design; to write, pen
xTb	kept	-	deliver a public address, make a speech; to preach, deliver a sermon
xTf	kept	-	snatch, wrench or wrest away, seize, grab; to make off; to abduct, kidnap
xTw	kept	-	step, pace, walk; to proceed, advance, progress
xbA	kept	-	tent; husk, hull (of grain)
xbT	kept	-	beat, strike; to knock, rap; to stamp
xbl	kept	-	confusion; mental disorder, insanity
xbr	kept	-	news; information, intelligence: report, communication, message; notification
xbt	no_gloss	-	
xbv	kept	-	badness, wickedness; malignancy (e.g., of a disease); malice, malevolence, viciousness
xbw	kept	-	go out, die (fire)
xbz	kept	-	bread
xdE	kept	-	cheat; to deceive, mislead, dupe, gull; pass. kudi‘a to be mistaken, be wrong
xdd	kept	-	cheek; lateral portion, side
xdn	kept	-	friend, companion, confidant
xfD	kept	-	make lower; to lower, decrease, reduce, lessen, diminish; to lower, drop
xff	kept	-	be light (of weight); to be slight, insignificant; to become lighter, decrease in weight, lose weight
xft	kept	-	become inaudible, die down, die away (sound, voice); to become silent, become still
xfy	kept	-	be hidden, be concealed; to be unknown; to disappear, hide
xlE	kept	-	take off, put off, slip off; to doff, take off; to extract, pull
xlS	kept	-	be pure, unmixed, unadulterated; to belong; to get, come, arrive
xlT	kept	-	mix, mingle, commingle, blend; to confuse, confound, mix up, mistake
xld	kept	-	infinite duration, endless time, perpetuity, eteruity
xlf	kept	-	be the successor, succeed: to follow, come after s.o.: to take the place of s.o., substitute (. for s.o.): to replace: to lag behind s.o.
xll	kept	-	gap, interval, interstice; cleft, crack, rupture, fissure; a defective, unbalanced state, imbalance
xlq	kept	-	create, make, originate; to shape, form, mold
xlw	kept	-	be empty, vacant
xmS	kept	-	be empty, hungry (stomach)
xmT	not_in_hanswehr	-	
xmd	kept	-	go out, die (fire); to abate, subside, let up, calm down, cease, die down
xmr	kept	-	wine; pl. alcoholic beverages, liquor
xms	kept	-	one fifth
xnq	kept	-	choke; to suffocate, stifle, smother, strangle, throttle, choke to death; to throttle down
xns	not_in_hanswehr	-	
xnzr	not_in_hanswehr	-	
xrS	kept	-	guess estimate; to conjecture, surmise, form conjectures; to tell an untruth, a falsehood, to lie
xrTm	not_in_hanswehr	-	
xrb	kept	-	destroy, wreck, demolish, shatter, devastate, lay waste
xrdl	kept	-	mustard seeds; mustard
xrj	kept	-	go out, walk out; to come out, emerge; to drive or ride out, go out (in a vehicle)
xrq	kept	-	tear, rend, tear apart; to make a hole; to perforate, pierce, bore
xrr	kept	-	murmur, bubble, gurgle, purl (of running water); to ripple, trickle; to snore
xsA	kept	-	chase away
xsf	kept	-	sink, sink down, give way, cave in, disappear, go down; to be eclipsed (moon)
xsr	kept	-	incur a loss, suffer damage; to lose, forfeit; to go astray, lose one’s way, get lost
xtm	kept	-	seal, provide with a seal or signet; to stamp, impress with a stamp; to seal off, close, make impervious or inaccessible
xtr	kept	-	disloyalty, breach of confidence, perfidy, treachery, betrayal, deception
xwD	kept	-	wade; to plunge, dive, rush, tackle courageously, embark boldly; to penetrate, become absorbed, engrossed
xwf	kept	-	be frightened, scared; to be afraid, dread; to fear
xwl	no_gloss	-	
xwn	kept	-	be disloyal, faithless, false, treacherous, perfidious, act disloyally, treacherously, perfidiously; to betray
xwr	kept	-	inlet, bay
xwy	kept	-	little brother
xyT	kept	-	thread; twine cord; pack-thread, string
xyb	kept	-	fail, miscarry, be without success, be unsuccessful; to be frustrated, be dashed, be disappointed (hopes); to go wrong
xyl	kept	-	horses; horsepower, H.P.
xym	kept	-	tentmaker
xyr	kept	-	good; excellent, outstanding, superior, admirable; better
xzn	kept	-	storing; accumulation, hoarding, amassing; storage, warehousing
xzy	kept	-	be or become base, vile, despicable, contemptible; to be ashamed
yAs	kept	-	renunciation, resignation; hopelessness, desperation
ybs	kept	-	dryness
ydy	not_in_hanswehr	-	
ymm	no_gloss	-	
ymn	kept	-	good luck, good fortune, prosperity, success
ynE	kept	-	become ripe, ripen, mellow
yqZ	kept	-	awake; watchful, vigilant, alert, wary, cautious
yqn	kept	-	be sure, certain; to know for certain, be sure, be certain, be convinced IV
ysr	kept	-	be or become easy
ytm	kept	-	orphanhood
ywm	kept	-	day; pl. also: age, era, time
zEm	kept	-	maintain, allege, claim, pretend, declare; to believe; to take, regard
zHf	kept	-	advance, march (of an army); soldiery, army
zHzH	kept	-	move; to tear, rip
zbd	kept	-	foam, froth; dross
zbn	not_in_hanswehr	-	
zbr	kept	-	penis
zff	kept	-	hurry
zfr	kept	-	grease, greasy food
zhd	kept	-	renunciation; jndifference; abstemiousness, abstinence
zhq	kept	-	die, pass away, run out, come to nothing
zhr	kept	-	flowers; blossoms
zjj	kept	-	ferrule; arrowhead; spearhead
zjr	kept	-	forcible prevention; suppression (of customs, abuses, crimes); rebuke, reprimand
zjw	kept	-	drive, urge on; to squeeze, press, force, cram
zkw	kept	-	thrive; to grow, increase; to be pure in heart, be just, righteous, good
zlf	kept	-	approach, advance, go near
zll	kept	-	slip; to make a mistake, commit an error, a slip; to slide off s.o., fail to affect s.o.
zlm	kept	-	arrow without head and feathers, used in divination
zlq	kept	-	glide, slide; to slip
zlzl	kept	-	shake, rook, convulse, cause to tremble; pass. zulzila also: to waver, stumble
zmhr	kept	-	become red, flushed, blood-shot
zml	no_gloss	-	
zmr	kept	-	blowing, playing (of a wind instrument)
znm	not_in_hanswehr	-	
zny	kept	-	commit adultery, fornicate, whore
zqm	kept	-	swallow gulp, gobble
zrE	kept	-	sowing; seed; young standing crop, green crop
zrq	kept	-	injections, injectings
zry	kept	-	rebuke, scold, upbraid, find fault; to revile, disparage, detract
zwd	no_gloss	-	
zwj	no_gloss	-	
zwl	kept	-	go away, withdraw, abandon, leave; to disappear, vanish; to abate, calm down, die down, come to an end
zwr	kept	-	visit, call, pay a visit; to afflict
zxrf	kept	-	decoration, ornament, embellishment; makeup, getup (e.g., of a book); vain, trifling finery
zyd	kept	-	become greater, become more, grow, increase, be compounded, multiply; to be greater, be more, amount to more, exceed, go beyond an amount or number
zyg	kept	-	turn aside; to depart, deviate; to swerve
zyl	no_gloss	-	
zyn	kept	-	decorate, adorn
zyt	kept	-	oil (edible, fuel, motor oil, etc.)
