root	status	buckets	gloss
Hmr	kept	-	asphalt
Hmy	kept	-	fever, fever heat
Hn*	not_in_hanswehr	-	
Hnf	kept	-	turn or bend sideways
Hnjr	not_in_hanswehr	-	
Hnk	no_gloss	-	
Hnn	kept	-	long, yearn, hanker, crave
Hnv	kept	-	break one’s oath
Hqb	kept	-	put into one‘s bag, to bag
Hqf	not_in_hanswehr	-	
Hqq	kept	-	truth; correctness, rightness; rightful possession. property
HrD	no_gloss	-	
HrS	kept	-	desire, want, covet; to be intent, be bent; to strive, aspire
Hrb	kept	-	be furious, enraged, angry
Hrd	kept	-	be annoyed, disgruntled, angry, furious
Hrf	no_gloss	-	
Hrj	kept	-	closeness, tightness, narrowness; confinement, straitness. constriction, crampedness; restriction, impediment
Hrk	no_gloss	-	
Hrm	kept	-	be forbidden, prohibited, interdicted, unlawful, unpermitted
Hrq	kept	-	burn; to burn, hurt, sting, smart
Hrr	kept	-	heat, warmth
Hrs	kept	-	watch; guard, escort; bodyguard
Hrv	kept	-	plowing, tilling, tillage, cultivation of the soil; arable land, tilth; plantation, culture
Hry	no_gloss	-	
Hsb	kept	-	compute, reckon, calculate; to count; to charge, debit
Hsd	kept	-	envy, grudge, be envious
Hsm	kept	-	finishing, completion, termination; decision; settling, settlement (of an argument)
Hsn	kept	-	beauty, handsomeness, prettiness, loveliness; excellence, superiority, perfection
Hsr	kept	-	fatigue, debility, weakness
Hss	kept	-	curry, currycomb; to feel, sense
Htm	kept	-	imposition, injunction; final decision, resolution, determination
Hvv	kept	-	urge, incite, prompt, goad, spur on, egg on, prod, provoke, impel
Hw$	kept	-	enclosure, enclosed area; courtyard
Hw*	kept	-	urge on, spur on
HwT	kept	-	guard, protect, watch, have the custody; to attend, take care, look after s.th.; to surround, encircle, enclose, encompass
Hwb	no_gloss	-	
Hwj	kept	-	need, want, lack, deficiency, destitution
Hwl	kept	-	change, undergo a change, be transformed; to shift, turn, pass, grow, become; to deviate, depart, dodge, evade, fail to meet
Hwr	kept	-	return; to recede, decrease, diminish, be reduced
Hwt	kept	-	fish; whale; Pisces, Fishes (astron.)
Hwy	kept	-	gather, collect, unite; to encompass, embrace, contain, hold, enclose, comprise, include; to possess, own, have
Hwz	kept	-	possession, holding, tenure; obtainment, attainment, acquisition; taking possession, occupation, occupancy
HyD	no_gloss	-	
HyS	kept	-	flight, escape
Hyd	kept	-	deviate, swerve, depart, desist (If from); to leave, quit, give up, abandon, relinquish
Hyf	kept	-	deal unjustly, wrong, injure, harm; to restrict, limit, curtail, impair, encroach
Hyn	kept	-	death, destruction
Hyq	kept	-	surround, beset from all sides; to fall, descend, come, befall, overtake, grip, seize, overcome, happen, occur; to penetrate, pierce
Hyr	kept	-	fenced-in garden, enclosure
Hyv	kept	-	where (place and direction); wherever; since, as, due to the fact that
Hyy	kept	-	bashful, shy, diffident, modest
Hzb	kept	-	group, troop, band, gang; party (pol.); the 60th part of the Koran
Hzn	kept	-	make sad, sadden, grieve
SEd	kept	-	rise, go up; to lift, climb, ascend, slope upward; to mount, scale, ascend, climb, climb up
SEq	kept	-	thunder, peal of thunder
SEr	kept	-	be awry (face; with pride)
SHb	kept	-	be or become a companion, an associate, a comrade, a friend, make or become friends, be friends; to associate, have social intercourse
SHf	no_gloss	-	
SbA	kept	-	east wind
SbE	kept	-	point with the finger; to insert one’s finger
SbH	kept	-	offer a morning draught
Sbb	kept	-	pour, pour forth, cast, empty, fill; to impose
Sbg	kept	-	color, dye, dyestuff; pigment; (coat of) paint, varnish
Sbr	kept	-	bind, tie, fetter, shackle; to be patient, be forbearing, have patience, take patience, persevere; to bear calmly, patiently, stoutly, endure
Sbw	kept	-	be a child, be childish
SdE	kept	-	split, cleave, part, sunder; to crack, break, cause to crack; to break, conquer, overcome, surmount
Sdd	kept	-	nearness, proximity; intention, purpose, design, aim; respect, regard, relation, concern, subject, matter
Sdf	kept	-	turn away, avoid, shun
Sdq	kept	-	speak the truth, be sincere; to tell the truth; to prove to be true, turn out to be correct, come true
Sdr	kept	-	chest, breast, bust; bosom, heart; front part, front
Sdy	kept	-	become or be rusty, rust, oxidize
SfH	kept	-	broaden, widen, flatten, beat into a leaf, foliate, plate; to pardon, forgive
SfSf	kept	-	a variety of willow (Salix Safsaf F.; bot.)
Sfd	kept	-	bond, tie, fetter
Sff	kept	-	aligning or arranging in a line or row
Sfn	kept	-	scrotum
Sfr	kept	-	brass; money
Sfw	kept	-	be or become clear, unpolluted, limpid, cloudless, untroubled, serene, undisturbed, pure
Sgr	kept	-	smallness, littleness, scantiness, paltriness, paucity, insignificance; youthfulness, juvenility
Sgw	kept	-	incline, bend, lean
Shr	kept	-	melt, fuse, smelt
Skk	kept	-	beat, strike; to shut, lock
SlH	kept	-	peace, (re)conciliation, settlement, composition, compromise; peace (pol.), peacemaking, conclusion of peace
SlSl	kept	-	ring, clink, clank; to clatter, rattle
Slb	kept	-	be or become hard, firm, solid, stiff, or rigid, solidify, harden, set, stiffen
Sld	kept	-	hard, firm, solid, dry, barren, arid (ground); rigid, lifeless, inert
